Product type,SKU,Price,Availability,Number of products sold,Revenue generated,Customer demographics,Stock levels,Lead times,Order quantities,Shipping times,Shipping carriers,Shipping costs,Supplier name,Location,Production volumes,Manufacturing lead time,Manufacturing costs,Inspection results,Defect rates,Transportation modes,Routes,Costs
haircare,SKU15,87.56,35,6755,591467.8,Unknown,75,11,12,2,Carrier C,19.03,Supplier 3,Bangalore,367,24,28.4,Pass,0.0191,Air,Route B,825.39
haircare,SKU16,81.53,80,8273,674497.69,Unknown,32,28,62,1,Carrier A,16.18,Supplier 2,Chennai,754,18,29.84,Pending,0.0499,Sea,Route B,595.2
skincare,SKU17,26.6,61,4595,122227.0,Non-binary,82,5,32,9,Carrier A,38.48,Supplier 2,Kolkata,670,4,13.43,Pass,0.049,Rail,Route B,139.07
skincare,SKU18,89.44,41,9263,828482.72,Unknown,99,4,62,9,Carrier C,6.51,Supplier 4,Chennai,588,18,28.87,Pass,0.036,Rail,Route A,669.84
haircare,SKU19,58.0,33,6102,353916.0,Unknown,56,3,46,9,Carrier A,30.65,Supplier 1,Delhi,976,5,32.21,Pass,0.018,Air,Route A,956.26
skincare,SKU20,81.86,68,6714,549608.04,Unknown,87,19,83,6,Carrier B,39.31,Supplier 2,Mumbai,637,25,36.72,Pass,0.0372,Air,Route C,641.45
haircare,SKU21,89.75,33,9458,848855.5,Male,20,20,83,8,Carrier B,44.45,Supplier 3,Delhi,146,16,39.86,Fail,0.0129,Road,Route C,837.27
haircare,SKU22,38.3,14,6019,230527.7,Non-binary,73,25,92,1,Carrier B,20.39,Supplier 4,Kolkata,387,1,18.3,Pass,0.0112,Air,Route A,895.79
skincare,SKU23,19.79,21,953,18859.87,Unknown,16,18,26,4,Carrier A,41.96,Supplier 1,Bangalore,877,21,10.83,Pass,0.0203,Road,Route C,305.27
skincare,SKU24,30.29,48,4246,128611.34,Female,29,15,94,1,Carrier B,9.98,Supplier 5,Chennai,115,14,12.25,Pass,0.0285,Road,Route A,290.84
cosmetics,SKU25,48.01,20,3869,185750.69,Female,56,9,87,8,Carrier C,43.09,Supplier 3,Mumbai,810,15,24.17,Pass,0.0447,Rail,Route B,649.88
haircare,SKU26,82.8,8,674,55807.2,Female,89,17,82,1,Carrier C,10.74,Supplier 2,Chennai,500,9,38.89,Pass,0.0391,Rail,Route B,469.93
skincare,SKU27,86.61,7,1248,108089.28,Non-binary,57,14,10,3,Carrier A,22.88,Supplier 2,Kolkata,893,15,32.92,Pass,0.0397,Sea,Route C,855.88
skincare,SKU28,10.62,67,6393,67893.66,Non-binary,27,15,60,4,Carrier C,40.88,Supplier 3,Chennai,185,17,5.99,Pass,0.027,Rail,Route A,910.02
haircare,SKU29,55.46,17,6557,363651.22,Female,20,1,54,8,Carrier C,11.75,Supplier 2,Mumbai,349,25,29.91,Pass,0.0238,Rail,Route A,418.08
skincare,SKU30,47.15,33,7609,358764.35,Unknown,61,21,86,6,Carrier A,15.32,Supplier 4,Kolkata,490,24,23.46,Pending,0.0248,Air,Route C,313.18
haircare,SKU31,29.77,48,4877,145188.29,Non-binary,43,22,13,7,Carrier B,37.5,Supplier 1,Chennai,881,4,16.53,Fail,0.0495,Rail,Route A,802.47
haircare,SKU32,20.67,76,3954,81729.18,Female,57,22,71,8,Carrier B,37.4,Supplier 4,Bangalore,434,12,11.58,Pass,0.0116,Sea,Route B,347.33
cosmetics,SKU33,40.05,59,2591,103769.55,Female,46,3,74,2,Carrier B,33.85,Supplier 2,Kolkata,728,27,20.53,Pass,0.0447,Air,Route C,840.35
cosmetics,SKU34,93.92,86,3224,302798.08,Unknown,62,16,41,8,Carrier A,36.23,Supplier 5,Kolkata,618,26,51.76,Pass,0.0331,Sea,Route C,481.36
cosmetics,SKU35,38.77,22,5791,224517.07,Male,43,23,43,3,Carrier C,29.42,Supplier 1,Bangalore,236,5,19.74,Pass,0.0275,Rail,Route A,700.79
haircare,SKU36,56.17,30,3151,176991.67,Non-binary,18,25,81,7,Carrier B,16.33,Supplier 1,Delhi,982,5,28.31,Pass,0.039,Sea,Route C,185.98
haircare,SKU37,72.57,38,104,7547.28,Unknown,99,11,48,3,Carrier B,20.56,Supplier 3,Mumbai,787,11,35.24,Pass,0.0295,Air,Route A,661.47
skincare,SKU38,42.36,51,5322,225439.92,Female,9,12,35,7,Carrier A,13.17,Supplier 3,Delhi,939,6,22.27,Pass,0.0449,Road,Route A,506.59
skincare,SKU39,96.49,54,5415,522493.35,Female,39,10,43,2,Carrier B,45.88,Supplier 5,Chennai,597,7,33.54,Pass,0.046,Sea,Route A,627.95
haircare,SKU40,95.66,8,4969,475334.54,Unknown,91,16,63,6,Carrier A,31.25,Supplier 1,Bangalore,926,24,53.98,Pass,0.0269,Sea,Route A,251.21
skincare,SKU41,32.41,27,976,31632.16,Non-binary,97,8,12,3,Carrier C,23.04,Supplier 5,Delhi,826,14,18.2,Pending,0.0211,Air,Route A,763.19
haircare,SKU42,54.26,27,9283,503695.58,Male,79,6,59,3,Carrier A,25.79,Supplier 3,Kolkata,576,24,16.75,Pass,0.0337,Air,Route C,876.52
cosmetics,SKU43,36.78,98,7127,262131.06,Male,22,12,21,9,Carrier A,47.63,Supplier 3,Chennai,693,11,20.15,Pass,0.0465,Sea,Route B,295.07
haircare,SKU44,35.35,21,4242,149954.7,Female,80,24,74,7,Carrier A,11.9,Supplier 1,Chennai,322,13,11.97,Pass,0.0184,Rail,Route B,186.14
skincare,SKU45,13.28,30,7066,93836.48,Non-binary,13,28,63,5,Carrier A,31.38,Supplier 4,Delhi,471,2,5.32,Pass,0.0349,Sea,Route C,121.27
haircare,SKU46,64.25,97,7179,461250.75,Male,78,21,14,7,Carrier C,27.76,Supplier 2,Delhi,501,25,33.61,Pass,0.0353,Air,Route C,677.77
skincare,SKU47,54.74,28,8087,442682.38,Non-binary,62,8,66,9,Carrier C,32.52,Supplier 3,Bangalore,542,7,19.06,Pending,0.0393,Road,Route B,646.38
skincare,SKU48,14.58,64,6899,100587.42,Non-binary,21,26,26,1,Carrier B,5.81,Supplier 3,Mumbai,589,20,7.95,Pending,0.0153,Road,Route B,592.03
haircare,SKU49,34.8,97,4565,158862.0,Female,11,28,56,7,Carrier C,44.25,Supplier 4,Delhi,714,4,19.13,Pass,0.0386,Rail,Route B,308.75
cosmetics,SKU50,90.84,69,735,66767.4,Male,50,4,32,6,Carrier C,46.95,Supplier 4,Delhi,372,27,41.08,Pass,0.0464,Sea,Route B,451.82
cosmetics,SKU51,31.32,61,1793,56156.76,Unknown,17,26,88,9,Carrier B,30.43,Supplier 5,Kolkata,625,8,9.46,Pass,0.0172,Road,Route B,635.03
cosmetics,SKU52,22.9,48,9974,228404.6,Female,44,8,94,1,Carrier C,36.35,Supplier 5,Chennai,258,20,8.84,Pass,0.0195,Sea,Route A,547.09
cosmetics,SKU53,53.56,19,4852,259873.12,Male,46,26,23,4,Carrier A,46.51,Supplier 2,Mumbai,251,22,25.98,Pass,0.0489,Air,Route C,989.01
skincare,SKU54,97.72,4,8411,821922.92,Male,13,28,75,9,Carrier A,36.83,Supplier 2,Kolkata,719,21,58.08,Pass,0.0172,Road,Route A,222.8
cosmetics,SKU55,31.54,35,930,29332.2,Male,54,18,84,4,Carrier B,11.86,Supplier 1,Bangalore,287,19,15.44,Pass,0.0442,Rail,Route B,725.63
haircare,SKU56,69.82,64,5277,368440.14,Male,31,28,60,3,Carrier B,30.93,Supplier 5,Bangalore,912,13,26.39,Pending,0.0297,Air,Route B,463.89
haircare,SKU57,77.78,49,9661,751432.58,Male,70,28,47,9,Carrier B,32.3,Supplier 3,Delhi,197,14,38.13,Pass,0.0199,Rail,Route B,485.38
haircare,SKU58,31.15,17,9032,281346.8,Non-binary,9,5,73,2,Carrier A,24.09,Supplier 5,Delhi,230,10,14.39,Pass,0.0448,Air,Route A,745.84
haircare,SKU59,74.81,44,8408,629002.48,Female,33,9,47,4,Carrier C,38.14,Supplier 3,Bangalore,904,11,39.95,Pass,0.0278,Road,Route A,723.19
skincare,SKU60,42.73,92,6049,258473.77,Non-binary,41,4,59,6,Carrier A,47.05,Supplier 4,Delhi,270,2,14.19,Fail,0.0306,Rail,Route B,992.13
haircare,SKU61,66.28,30,2938,194730.64,Unknown,42,27,91,2,Carrier B,46.65,Supplier 5,Mumbai,282,25,35.02,Pass,0.0244,Rail,Route A,215.55
cosmetics,SKU62,66.38,93,1250,82975.0,Male,87,22,39,8,Carrier C,25.29,Supplier 4,Delhi,463,26,30.69,Pass,0.0337,Air,Route A,193.7
skincare,SKU63,57.68,46,7660,441828.8,Female,12,17,88,8,Carrier C,10.1,Supplier 2,Chennai,138,9,33.97,Pass,0.0165,Rail,Route B,751.9
haircare,SKU64,18.04,6,2031,36639.24,Male,69,9,60,1,Carrier A,49.32,Supplier 2,Delhi,626,17,7.26,Pass,0.0256,Air,Route A,620.55
skincare,SKU65,84.34,99,9304,784699.36,Female,90,1,72,3,Carrier B,42.75,Supplier 1,Kolkata,987,26,41.31,Pass,0.0488,Air,Route C,346.74
haircare,SKU66,38.55,37,1764,68002.2,Non-binary,21,21,61,9,Carrier A,10.61,Supplier 5,Mumbai,596,3,22.34,Pending,0.0203,Air,Route C,171.48
cosmetics,SKU67,26.6,24,1181,31414.6,Female,75,20,47,5,Carrier C,46.44,Supplier 4,Kolkata,615,24,8.8,Pass,0.0363,Air,Route C,177.09
haircare,SKU68,13.63,93,612,8341.56,Unknown,93,13,97,6,Carrier A,44.15,Supplier 3,Kolkata,448,6,7.92,Pass,0.023,Road,Route C,904.77
cosmetics,SKU69,62.59,46,7905,494773.95,Unknown,49,28,88,4,Carrier A,28.35,Supplier 2,Chennai,496,5,31.69,Pending,0.0409,Air,Route B,272.68
cosmetics,SKU70,70.3,53,5337,375191.1,Female,8,16,39,2,Carrier B,31.61,Supplier 2,Mumbai,821,5,22.52,Pass,0.0152,Sea,Route B,391.03
haircare,SKU71,11.48,95,659,7565.32,Female,40,29,60,8,Carrier B,22.96,Supplier 3,Mumbai,260,22,4.48,Pending,0.0488,Rail,Route B,303.99
haircare,SKU72,55.58,99,3772,209647.76,Female,74,13,90,6,Carrier C,7.46,Supplier 4,Mumbai,115,15,28.48,Pending,0.0282,Sea,Route C,419.5
cosmetics,SKU73,30.16,60,7504,226320.64,Female,35,14,14,5,Carrier A,20.08,Supplier 4,Mumbai,592,23,9.66,Pass,0.0194,Road,Route C,162.48
skincare,SKU74,67.42,97,3443,232127.06,Unknown,23,3,38,9,Carrier A,41.13,Supplier 5,Mumbai,525,17,32.0,Pass,0.0129,Sea,Route A,567.15
skincare,SKU75,25.52,63,4170,106418.4,Male,65,29,13,1,Carrier A,5.21,Supplier 5,Chennai,207,9,10.3,Pass,0.0168,Rail,Route A,160.85
cosmetics,SKU76,71.49,85,9762,697885.38,Female,58,6,19,5,Carrier C,20.01,Supplier 1,Delhi,993,3,34.76,Pass,0.0308,Sea,Route C,820.32
haircare,SKU77,44.42,32,680,30205.6,Female,43,18,65,6,Carrier C,22.92,Supplier 2,Kolkata,549,20,13.94,Pass,0.0235,Road,Route C,310.34
skincare,SKU78,93.37,87,7104,663300.48,Unknown,95,19,26,5,Carrier B,29.18,Supplier 5,Mumbai,410,26,52.42,Pass,0.0432,Air,Route C,586.01
haircare,SKU79,22.24,33,8230,183035.2,Unknown,78,5,83,6,Carrier B,46.39,Supplier 4,Delhi,838,17,13.17,Pass,0.0272,Sea,Route C,892.07
cosmetics,SKU80,40.35,67,3247,131016.45,Non-binary,94,15,26,6,Carrier B,20.59,Supplier 3,Delhi,269,27,23.83,Pass,0.0199,Road,Route A,685.79
skincare,SKU81,20.1,18,4349,87414.9,Female,23,25,93,7,Carrier A,20.61,Supplier 4,Kolkata,645,10,10.55,Pass,0.0347,Road,Route C,579.66
haircare,SKU82,92.3,25,1779,164201.7,Non-binary,43,2,97,4,Carrier A,38.19,Supplier 2,Chennai,513,3,31.29,Pass,0.0383,Rail,Route A,391.9
haircare,SKU83,88.08,95,3606,317616.48,Unknown,71,10,78,8,Carrier B,25.35,Supplier 4,Bangalore,350,18,46.46,Pending,0.0167,Rail,Route C,399.7
haircare,SKU84,32.96,54,7353,242354.88,Unknown,49,24,43,7,Carrier A,15.11,Supplier 1,Bangalore,858,18,10.13,Fail,0.0167,Sea,Route C,702.54
haircare,SKU85,68.74,58,2844,195496.56,Male,17,18,15,9,Carrier B,25.36,Supplier 2,Delhi,880,17,21.08,Pending,0.0115,Air,Route C,994.73
skincare,SKU86,82.73,67,9535,788830.55,Female,96,27,62,7,Carrier C,11.34,Supplier 3,Kolkata,240,24,32.85,Pass,0.0395,Road,Route A,695.66
skincare,SKU87,59.41,46,5288,314160.08,Non-binary,62,13,75,3,Carrier B,12.94,Supplier 1,Bangalore,373,3,26.53,Pass,0.0366,Sea,Route A,602.01
cosmetics,SKU88,57.14,24,2241,128050.74,Unknown,24,5,86,3,Carrier C,27.43,Supplier 2,Delhi,515,3,30.35,Pass,0.029,Road,Route B,757.59
skincare,SKU89,31.52,32,6717,211719.84,Unknown,96,23,52,8,Carrier A,23.85,Supplier 3,Chennai,707,6,15.92,Pass,0.0438,Road,Route C,518.69
haircare,SKU90,18.29,47,2579,47169.91,Non-binary,76,24,84,5,Carrier B,46.17,Supplier 1,Bangalore,838,13,7.93,Pass,0.0422,Air,Route B,154.13
skincare,SKU91,89.85,86,6584,591572.4,Male,65,1,32,4,Carrier A,21.31,Supplier 1,Delhi,990,24,34.33,Pass,0.0334,Air,Route B,606.07
cosmetics,SKU92,90.14,23,9927,894819.78,Unknown,43,22,64,8,Carrier C,31.13,Supplier 2,Delhi,138,15,54.01,Pass,0.0447,Sea,Route A,961.86
skincare,SKU93,66.35,66,7521,499018.35,Female,5,1,89,6,Carrier C,33.45,Supplier 5,Mumbai,913,25,28.39,Pending,0.0182,Air,Route A,257.77
cosmetics,SKU94,40.17,27,4552,182853.84,Unknown,7,18,84,2,Carrier C,5.59,Supplier 1,Chennai,128,9,17.49,Pass,0.0145,Air,Route B,721.0
skincare,SKU95,41.08,2,5981,245699.48,Female,81,15,25,4,Carrier A,34.86,Supplier 1,Mumbai,576,4,14.34,Pass,0.0208,Sea,Route C,280.84
skincare,SKU96,74.61,90,6765,504736.65,Non-binary,96,17,17,4,Carrier A,13.01,Supplier 3,Kolkata,417,14,40.17,Pass,0.0123,Air,Route A,582.24
skincare,SKU97,89.84,17,2949,264938.16,Female,66,11,13,6,Carrier A,48.25,Supplier 4,Mumbai,344,5,45.65,Pass,0.0312,Rail,Route C,187.01
haircare,SKU98,88.95,33,7490,666235.5,Non-binary,67,21,13,6,Carrier A,11.69,Supplier 2,Mumbai,847,2,32.58,Pass,0.0475,Road,Route C,505.33
haircare,SKU99,79.41,9,7005,556267.05,Female,29,26,65,1,Carrier C,23.66,Supplier 2,Bangalore,796,11,25.79,Pass,0.0116,Road,Route B,780.55
