Product,Annual_Demand,Ordering_Cost,Holding_Cost,Lead_Time_Days
SKU90 (Haircare),2579.0,46.17,1.586,24.0
SKU91 (Skincare),6584.0,21.31,6.866,1.0
SKU92 (Cosmetics),9927.0,31.13,10.802,22.0
SKU93 (Skincare),7521.0,33.45,5.678000000000001,1.0
SKU94 (Cosmetics),4552.0,5.59,3.4979999999999998,18.0
SKU95 (Skincare),5981.0,34.86,2.8680000000000003,15.0
SKU96 (Skincare),6765.0,13.01,8.034,17.0
SKU97 (Skincare),2949.0,48.25,9.13,11.0
SKU98 (Haircare),7490.0,11.69,6.516,21.0
SKU99 (Haircare),7005.0,23.66,5.158,26.0
